1:-300,-680,-614,-65,-16,60
2:-172,-324,-311,-29,0,21
3:-72,-160,-252,-21,0,12
4:-162,-123,-15,-18,-4,3
5:-30,-120,-50,-21,8,20
6:-82,-90,-59,-17,15,14
7:-97,-84,-167,-8,-8,19
8:-29,23,4,-3,-16,20
9:-22,-71,89,-12,-5,-81
10:-106,-103,-56,-17,-2,-21
11:-6,-46,-4,-22,-1,8
12:-75,-87,-18,-5,-16,5
13:-36,-10,-61,-7,0,24
14:-52,-65,2,-17,19,10
15:-101,-120,-150,-7,-9,21
16:-12,-53,-163,-5,1,1
17:-19,-132,-101,-3,3,-6
18:31,-64,-114,-8,4,14
19:48,10,27,-9,-22,0
20:-71,13,-247,-23,-4,5
21:7,119,42,-19,0,5
22:57,41,-73,-10,-9,0
23:23,-51,-20,-6,7,5
24:53,-141,-85,-9,-2,0
25:-21,-101,-120,-4,1,24
26:-132,-59,-111,-21,11,2
27:34,-53,-65,9,-6,21
28:-20,-1,-55,15,-9,10
29:49,-16,-169,2,-9,10
30:-29,-31,80,-11,-7,-12
31:48,-10,-96,9,6,0
32:-3,16,-4,-15,-12,3
33:-41,0,-54,8,-1,-6
34:21,-3,78,-17,1,-5
35:21,12,72,-16,2,6
36:-61,-38,-11,-6,-11,18
37:-8,12,24,-13,-2,-4
38:-16,-80,-3,-1,-8,-6
39:-12,-109,58,-4,14,0
40:-54,1,49,-23,-8,12
41:-69,5,-127,-5,-4,16
42:-12,79,-50,11,-12,12
43:30,156,-130,-20,-7,-1
44:-13,15,36,-14,-1,-12
45:-8,-62,39,0,-17,0
46:26,-14,-12,-18,-10,3
47:18,-131,11,6,2,2
48:17,-74,30,4,-18,0
49:60,17,-95,-19,1,4
50:-101,17,98,-11,7,-10
51:-1,-6,-107,-2,-15,-6
52:-21,126,-7,-3,5,-7
53:-67,-40,44,19,1,-10
54:51,-27,66,-1,-17,0
55:-12,-46,-1,0,-11,7
56:54,-120,-60,3,-10,-12
57:-9,85,-145,-10,-3,11
58:-72,-80,22,0,16,5
59:23,30,-1,-14,-3,13
60:58,14,-64,16,15,2
61:69,53,-47,-4,-3,0
62:-89,-53,-74,-14,20,-6
63:-48,-96,20,-16,0,0
64:62,-19,0,7,-8,6
65:-24,-27,20,15,-9,0
66:-79,75,12,4,2,-20
67:12,23,95,-5,-15,8
68:74,-28,-16,-1,-11,3
69:2,-12,11,-6,5,-6
70:-16,23,-20,-2,9,-13
71:7,-59,11,16,-25,24
72:-67,-47,105,1,11,2
73:-51,-26,-73,11,0,-7
74:32,-6,61,-9,16,-3
75:8,-34,128,-13,9,-10
76:-39,-69,-27,-5,8,12
77:-30,2,-212,-4,5,-6
78:-10,61,-12,-8,1,15
79:-58,-9,228,-7,-5,0
80:-9,57,16,10,0,-17
81:-1,36,99,2,7,-13
82:-9,-38,-79,11,18,-7
83:-9,13,138,2,16,-15
84:-68,28,-21,-3,13,-13
85:-24,8,-17,15,-4,0
86:11,4,-182,-1,-8,15
87:7,-26,-204,18,-7,1
88:66,-46,-190,-6,2,6
89:-76,1,-30,-13,6,-10
90:-8,-53,45,-20,0,0
91:3,-33,64,-4,-3,-13
92:-8,49,-70,-12,12,-8
93:-32,21,-101,-5,11,-4
94:-39,-22,-5,-8,-3,-11
95:12,-9,50,-10,-7,12
96:-35,17,-9,-5,13,10
97:-23,-37,41,11,-16,15
98:-38,-21,-18,7,13,14
99:48,-56,100,0,9,-61
100:119,-72,-94,0,0,-41
101:-119,15,136,7,1,-7
102:44,-35,83,6,-19,0
103:8,-27,-12,-4,4,20
104:19,99,-51,13,8,6
105:-27,42,55,-1,10,10
106:47,10,55,-7,-3,-3
107:23,-21,-76,-18,18,-12
108:3,26,63,16,-4,22
109:-63,42,11,3,11,-4
110:27,6,46,14,-9,14
111:43,14,-60,20,-19,-9
112:66,25,-8,-5,-6,0
113:-9,17,43,0,7,12
114:34,-10,-52,-5,-7,10
115:10,33,-4,0,-26,-19
116:-80,-105,47,13,0,10
117:-12,-88,46,-4,5,-12
118:-24,-48,38,1,13,-1
119:0,-12,-76,1,-2,-9
120:-52,39,58,9,-4,4
121:99,31,6,15,-15,2
122:30,-72,-29,3,2,-2
123:-56,-59,50,6,15,-4
124:62,16,-37,9,5,-10
125:-72,-47,-13,2,-10,-7
126:-75,-122,-112,1,-17,-7
127:-3,-18,-59,-1,18,-13
128:-39,1,23,-15,-11,-1
129:-71,-14,31,-6,-7,10
130:68,-30,-39,6,-2,6
131:-43,-57,-27,0,12,5
132:0,26,75,-13,0,-1
133:-19,53,-95,8,-1,10
134:84,57,24,14,-1,-1
135:-75,-30,-27,0,1,-10
136:-15,-65,-75,12,0,-4
137:20,-13,16,-13,-11,-4
138:76,2,52,8,-2,2
139:-11,-17,-130,-3,-8,-13
140:47,30,128,-23,-16,3
141:-154,-17,-15,14,-12,-12
142:56,2,103,0,-3,15
143:-39,2,-47,1,11,-15
144:20,-25,-71,7,-9,-2
145:-27,-1,-114,11,-16,0
146:-70,-25,9,2,-17,-15
147:-26,-92,208,-16,0,-4
148:37,15,43,-8,-12,5
149:-66,50,23,-11,5,9
150:-73,94,7,19,0,1
151:14,-49,23,9,0,0
152:-81,-77,11,-18,-25,-9
153:22,6,-56,14,9,0
154:2,30,162,-2,-1,0
155:10,-96,-112,-2,1,-4
156:-45,-36,0,0,6,10
157:-92,15,23,7,-5,-1
158:-4,15,-4,0,-19,1
159:31,-40,34,0,7,-3
160:-72,-36,-88,-1,1,0
161:79,19,-32,8,4,2
162:62,7,138,7,10,15
163:-40,-51,-52,0,-24,2
164:-12,-3,70,9,2,-20
165:-40,15,-108,8,-4,-5
166:-24,-11,27,-2,14,-6
167:35,-47,-40,7,-14,6
168:-12,95,90,-8,-1,16
169:-4,-36,50,-9,4,9
170:94,-87,145,-3,-9,8
171:14,36,121,0,0,11
172:-40,-55,36,0,-4,-18
173:30,-11,20,17,8,-8
174:6,-15,-94,6,11,-14
175:38,-19,-82,-8,0,0
176:-25,32,-18,3,-4,-4
177:6,28,57,-5,9,0
178:22,0,1,-5,17,16
179:14,-122,-165,8,-6,-10
180:62,-6,26,-2,-4,-3
181:57,-42,-21,1,-34,5
182:-37,-70,-184,-6,-21,11
183:33,25,11,10,7,-3
184:-2,-50,-36,8,3,-4
185:-18,-13,3,7,2,17
186:17,-81,-24,9,-2,-3
187:21,-81,-310,-5,9,2
188:-6,2,53,-1,0,18
189:17,46,196,1,1,16
190:21,-100,71,15,-3,8
191:-38,-4,-36,15,-5,-2
192:61,-8,55,0,14,-3
193:-30,0,-95,-19,7,2
194:1,-16,171,1,-2,-1
195:33,35,78,-10,-5,19
196:45,7,-1,2,-16,14
197:-70,-40,-64,21,-5,-2
198:-46,39,114,-11,-5,0
199:37,-4,-89,-10,-25,-12
200:13,78,18,-25,-4,0
201:57,-29,205,-10,-10,-10
202:25,46,-288,-15,7,0
203:-54,-53,-20,13,-15,13
204:-137,-24,-40,-4,8,-13
205:61,-116,23,-2,12,6
206:-193,-36,3,-13,4,9
207:54,-79,-60,6,1,5
208:26,16,-8,0,-17,2
209:-69,-7,-36,1,0,13
210:-92,4,-35,-1,10,-19
211:7,55,-99,2,2,10
212:3,-75,72,-3,10,0
213:54,-15,24,0,15,-5
214:34,12,-119,1,17,-17
215:2,8,-51,-9,-1,-2
216:-128,-63,-82,2,8,0
217:54,8,184,-3,-2,3
218:2,-59,-35,6,-6,7
219:22,-122,0,-2,0,1
220:94,61,20,-3,1,-4
221:10,-42,88,0,0,-8
222:14,-30,43,4,8,4
223:77,21,-35,18,9,5
224:-105,-102,-143,-16,-12,-22
225:10,-6,24,-1,3,0
226:6,-89,-130,-8,-27,-1
227:62,65,-46,-1,-2,8
228:53,-105,-30,2,-39,-3
229:37,10,105,7,-7,1
230:-30,129,-150,-5,3,-1
231:13,-46,29,3,-2,8
232:9,-69,57,1,-10,0
233:49,81,-114,-9,1,5
234:-50,-6,-101,-13,0,-6
235:-2,-33,-17,13,-18,19
236:25,13,14,-19,-6,7
237:53,-13,-45,-6,5,11
238:-98,-53,-101,15,-8,-8
239:-46,-29,2,-2,8,7
240:-101,-17,-116,-6,16,10
241:-9,-21,55,-5,-15,-2
242:26,66,70,0,-9,-3
243:-17,14,-80,1,4,-7
244:6,-53,66,-1,-9,-13
245:50,30,-24,19,22,-10
246:-13,26,66,14,-7,-6
247:2,-65,154,-6,13,2
248:-17,18,-205,-4,-7,-11
249:34,-21,-60,3,-2,6
250:85,-21,-24,4,-23,-6
251:-38,106,71,9,-4,6
252:17,-29,-92,-13,-13,2
253:-22,-61,83,2,19,4
254:-49,26,-4,-13,-1,-7
255:-33,-5,-76,-1,-6,14
256:-73,-97,-295,-27,13,-8
257:22,54,60,9,12,12
258:-73,-81,44,-3,-12,19
259:10,-100,-43,-1,0,-4
260:42,39,-99,0,-11,14
261:38,-72,-71,8,-18,0
262:-9,63,-26,7,-15,-5
263:-25,-40,76,-6,0,-1
264:-25,-60,-3,26,-2,6
265:6,-52,-3,13,-1,-6
266:94,23,20,-9,0,5
267:-25,11,72,-18,-1,-2
